0,CAR,"The Cordillera Administrative Region (CAR) was established in 1987, encompassing seven provinces: Abra, Apayao, Benguet, Ifugao, Kalinga, Mountain Province, and Apayao, with Baguio City as its center. Home to the indigenous Igorot tribe, it boasts rugged terrain and a distinctive culture. Abundant in natural resources, it is known for mining activities, primarily in Benguet, while agriculture is a primary occupation. CAR has a rich ancient culture and celebrates festivals like Panagbenga and Lang-ay. A prominent tourist destination, it features attractions such as the Banaue Rice Terraces and Sumaguing Cave. Spanning 18,294 square kilometers, CAR comprises 73 municipalities, two cities, seven congressional districts, and 1,176 barangays.",1797660,19818.12,"https://www.google.com/search?client=firefox-b-d&q=rickroll#fpstate=ive&vld=cid:d7b50f1f,vid:dQw4w9WgXcQ,st:0"
1,NCR,"The National Capital Region, also known as Metro Manila, is the political, economic, and cultural center of the Philippines. It is the only region without any province and is subdivided into 17 Local Government Units composed of 16 cities and one municipality, each of which is governed by a mayor. Metro Manila is characterized by skyscrapers, shopping malls, and diverse neighborhoods. The region is a melting pot of cultures, with a mix of indigenous Filipino, Spanish, American, and other influences.",13484462,636,
2,ARMM,,,,
3,Region-I,"The Ilocos Region, or Region I, situated in the northwest portion of Luzon, is flanked by the Cordillera Administrative Region and Cagayan Valley to the east, Central Luzon to the south, and the South China Sea to the west. Comprising four provinces—Ilocos Norte, Ilocos Sur, La Union, and Pangasinan—it is anchored by Pangasinan, which accounts for the majority of its population, area, and economy. The region's physical landscape ranges from the Cordillera Central mountain range to the Lingayen Gulf, featuring notable bodies of water like the Agno river and Hundred Islands National Park. Demographically, it's predominantly inhabited by Ilocanos and Pangasinenses, with minority groups such as the Tinggian and Isneg communities. The economy is diverse, with Pangasinan leading in agro-industrial activities while the northern portion focuses on agriculture. Notable economic activities include milkfish cultivation, livestock raising, and tourism, driven by coastal beaches and eco-tourism opportunities. Additionally, the region is known for its crafts, particularly blanket-weaving and pottery, such as the renowned burnay pottery of the Ilocanos.",5301139,12964.62,
4,Region-II,"Cagayan Valley, Luzon's second-largest region, offers rich resources and investment opportunities. Nestled in northeastern Luzon, it boasts 26, 388 sq. km of land. Protected by surrounding mountain ranges, the valley enjoys shelter from typhoones. The Cagayan River, part of the region's extensive river network, irrigates vast agricultural lands. Cagayan Valley's strategic location near East Asian markets makes it even more attractive for investors.",3685744,28228.83,
5,Revion-III,"Region III, or Central Luzon, or most commonly known as the Rice Granary of the Philippines, is a vibrant region nestled in Luzon Island's central plains. It dominates rice production, contributes a third of the nation's output, and boasts rich mineral deposits and marine resources. With well-connected transportation networks and international airports, it serves as a crucial trade hub. Former US Military bases transformed into economic zones further enhance its commercial importance. The region's diverse culture and ample amenities ensure a high quality of life. Central Luzon thrives as a vital contributor to the Philippines' economic and cultural landscape.",12422172,219.06,
6,Region-IVA,"Region IV-A is a beautiful natural region also known as Calabarzon and, more technically, the Southern Tagalog Mainland. It is made up of five provinces, with the term Calabarzon including one or more letters from each province's name. Cavite, Laguna, Batangas, Rizal, and Quezon. The area is located in southwestern Luzon, south and east of Metro Manila, and is the country's second most densely inhabited region.",16195042,165.76,
7,Region-IVB,"Region 4B, also known as MIMAROPA, is an administrative region in the Philippines situated in the southwestern part of Luzon island and the western part of the Visayas archipelago. Its name is an acronym derived from the names of its constituent provinces: Mindoro (Occidental and Oriental), Marinduque, Romblon, and Palawan. This region is known for its stunning natural beauty, with picturesque beaches, crystal-clear waters, and diverse marine life making it a popular tourist destination. Its economy is primarily driven by agriculture, fishing, mining, and tourism. Palawan, the largest province in the region, is particularly renowned for its pristine beaches, lush forests, and vibrant coral reefs, attracting visitors from around the world.",3228558,30235.79,
8,Region-V,"Region V, also known as the region of Bicol or Bicolandia encompasses the southern part of Luzon island. The region is composed of six provinces namely, Albay, Camarines Sur, Camarines Norte, Sorsogon, Catanduanes, and Masbate. Bicol is famous for its breathtaking sceneries that include caves, limestone cliffs, mountains, waterfalls, and coral reefs. It is also famous for a plethera of unique cuisine, rich culture, and diverse people.",6082165,17632,
9,Region-VI,"Region VI, also known as Western Visayas, is a Philippine administrative region in western Visayas. It is divided into six provinces: Aklan, Antique, Capiz, Guimaras, Iloilo, and Negros Occidental, as well as two highly urbanized cities — Iloilo City and Bacolod City. Iloilo serves as the region's principal hub. In addition, Western Visayas, located on the Philippines' western coast, has abundant natural resources. However, excessive logging has harmed its forests. Its waters are teeming with many species of fish and marine life, while minerals such as copper, gold, and limestone are also present. Due to its coastal location, fishing is a prominent occupation. It is a significant fishing area, with several coastal towns, fishing locations, and fish farms spread across a broad area. The primary economic activities in the region are farming, sugar production, rice and corn milling, fishing, mining, and commerce. Furthermore, key industries include livestock and poultry farming, along with cottage enterprises like rattan crafting, food preservation, ceramics, and confectionery manufacturing. Western Visayas has a competitive advantage in producing seaweed, mangoes, pineapples, bananas, and cashews.",7954723,12828.97,
10,Region-VII,"Region 7, also known as Central Visayas, is an administrative region in the Philippines that occupies the central section of the Visayas island group. It consists of four provinces: Bohol, Cebu, Negros Oriental, and Siquijor, as well as three highly urbanized cities: Cebu City, Lapu-Lapu, and Mandaue. The regional center and largest city is Cebu City, which is also the oldest city in the country.",8081988,14923,
11,Region-VIII,"Region 8 is numerically designated to Eastern visayas. The region consists of three main islands, named, Samar, leyte and Biliran. It has six provinces, one independent city and one highly urbanized city namely, Biliran, Leyte, Northern Samar, Samar, Eastern Samar, Southern Leyte, Ormoc and Tacloban. ",4547150,23234.78,
12,Region-IX,"Region 9, also known as the Zamboanga Peninsula, and is located in the western part of Mindanao. Region 9 consists of three main provinces named, Zamboanga Del Sur, Zamboanga Del Norte, and Zamboanga Sibugay.  One third of the region's population consists of ethnic people. They are divided into the Tausugs, Yakans, Badjaos, Samals and the Subanons of Zamboanga del Norte, Zamboanga del Sur, and Zamboanga Sibugay.",3875576,16904.03,
13,Region-X,"Northern Mindanao, officially designated as Region X, is an administrative region in the Philippines occupying the northern-central section of Mindanao. It covers 5 provinces, namely, Bukidnon, Camiguin, Lanao del Norte, Misamis Occidental, and Misamis Oriental, as well as 2 highly urbanized cities. The regional center is the City of Cagayan de Oro.",5022768,20458.51,
14,Region-XI,"Davao Region, officially designated as Region XI, is an administrative region in the Philippines occupying the southeastern section of Mindanao. It covers 5 provinces, namely, Davao de Oro (formely Compostela Valley), Davao del Norte, Davao del Sur, Davao Occidental, and Davao Oriental, as well as 1 highly urbanized city. The regional center is the City of Davao.",5243536,20433.38,
15,Region-XII,"Soccsksargen, formerly known as Central Mindanao, is an administrative region of the Philippines, designated as Region XII. Located in south-central Mindanao, its name is an acronym that stands for the region's four provinces and one highly urbanized city (South Cotabato, Cotabato, Sultan Kudarat, Sarangani and General Santos). The regional center is in Koronadal, located in the province of South Cotabato, and the center of commerce and industry is General Santos, which is the most populous city in the region.",4360974,22513.3,
16,Region-XIII,"Caraga, officially the Caraga Administrative Region (or simply known as Caraga Region) and designated as Region XIII, is an administrative region in the Philippines occupying the northeastern section of Mindanao. The region was created through Republic Act No. 7901 on February 23, 1995. The region comprises five provinces: Agusan del Norte, Agusan del Sur,  Dinagat Islands, Surigao del Norte, and Surigao del Sur; six cities: Bayugan, Bislig, Butuan, Cabadbaran, Surigao and Tandag; 67 municipalities and 1,311 barangays. Butuan, the most urbanized city in Caraga, serves as the regional administrative center.",2804788,21478.35,
