Region ID,Region,Short Info,Population,Land Area (sq km),Languages Spoken,Formatted Population Distribution by Language,Major Dialects,Popular phrases,Language Resources,Image,,Population Distribution by Language
0,CAR,"The Cordillera Administrative Region (CAR) was established in 1987, encompassing seven provinces: Abra, Apayao, Benguet, Ifugao, Kalinga, Mountain Province, and Apayao, with Baguio City as its center. Home to the indigenous Igorot tribe, it boasts rugged terrain and a distinctive culture. Abundant in natural resources, it is known for mining activities, primarily in Benguet, while agriculture is a primary occupation. CAR has a rich ancient culture and celebrates festivals like Panagbenga and Lang-ay. A prominent tourist destination, it features attractions such as the Banaue Rice Terraces and Sumaguing Cave. Spanning 18,294 square kilometers, CAR comprises 73 municipalities, two cities, seven congressional districts, and 1,176 barangays.",1797660,19818.12,"Balangao, Bontoc, Ibaloi, Ifugao, Ilocano, Isnag, Itneg, Kalinga, Kalanguya, Kankanaey","Kankana-ey: 29.45%
Ilocano: 29.36%
Ibaloi: 14.43%
Kalinga: 8.46%
Others: 18.3%","Filipino, English, Ilocano","""Anya Ngay"", ""Gawis ay wakgat"", ""Khawis ay wi-it"", ""Khawis ay akhew"", ""Na'piya nga pagmaat mu wahi"",""Mapteng ja omsiyang."", ""maphod ad nawi-it"" ",,"https://www.google.com/search?client=firefox-b-d&q=rickroll#fpstate=ive&vld=cid:d7b50f1f,vid:dQw4w9WgXcQ,st:0",,"Kankana-ey 29.45%
Ilocano 29.36%
Ibaloi 14.43%
Kalinga 8.46%
Others 18.3%"
1,NCR,"The National Capital Region, also known as Metro Manila, is the political, economic, and cultural center of the Philippines. It is the only region without any province and is subdivided into 17 Local Government Units composed of 16 cities and one municipality, each of which is governed by a mayor. Metro Manila is characterized by skyscrapers, shopping malls, and diverse neighborhoods. The region is a melting pot of cultures, with a mix of indigenous Filipino, Spanish, American, and other influences.",13484462,636,"Tagalog, Bisaya, Illocano, Hiligaynon Illongo, Bicol, Waray, English, Maranao, Chinese","Tagalog: 56.09%
Bisaya: 13.30%
Bikol/Bicol: 7.53%
Ilocano: 5.69%
Waray: 4.20%
Ilonggo: 4.01%
Pangasinan: 1.65%
Kapampangan: 1.46%
Cebuano: 1.20%
Maranao: 0.61%
Chinese: 0.49%
Others: 3.76%","Tagalog,Bisaya, Ilocano",,"https://www.gutenberg.org/files/20228/20228-h/20228-h.htm
https://www.gutenberg.org/files/47629/47629-h/47629-h.htm
https://books.google.com.ph/books?id=JWwexzva5ScC&printsec=copyright&redir_esc=y#v=onepage&q&f=false




",,,"Tagalog: 56.09%,
Bisaya: 13.30%,
Bikol/Bicol: 7.53%,
Ilocano: 5.69%,
Waray: 4.20%,
Ilonggo: 4.01%,
Pangasinan: 1.65%,
Kapampangan: 1.46%,
Cebuano: 1.20%,
Maranao: 0.61%,
Chinese: 0.49%,
Others: 3.76%"
2,ARMM,,,,,,,,,,,
3,Region-I,"The Ilocos Region, or Region I, situated in the northwest portion of Luzon, is flanked by the Cordillera Administrative Region and Cagayan Valley to the east, Central Luzon to the south, and the South China Sea to the west. Comprising four provinces—Ilocos Norte, Ilocos Sur, La Union, and Pangasinan—it is anchored by Pangasinan, which accounts for the majority of its population, area, and economy. The region's physical landscape ranges from the Cordillera Central mountain range to the Lingayen Gulf, featuring notable bodies of water like the Agno river and Hundred Islands National Park. Demographically, it's predominantly inhabited by Ilocanos and Pangasinenses, with minority groups such as the Tinggian and Isneg communities. The economy is diverse, with Pangasinan leading in agro-industrial activities while the northern portion focuses on agriculture. Notable economic activities include milkfish cultivation, livestock raising, and tourism, driven by coastal beaches and eco-tourism opportunities. Additionally, the region is known for its crafts, particularly blanket-weaving and pottery, such as the renowned burnay pottery of the Ilocanos.",5301139,12964.62,"Ilocano, Filipino, Pangasinense, English","Ilocano: 66%
Pangasinense: 27%
Tagalog: 3%
Others: 4%","Filipino, Ilocano, Pangasinan","""Akin"", ""Antoy ngaran mo"", ""Antoy siram"", ""Iner ka unla"", ""Narasan ka la"", ""Natsawan ak la"", ""Balbaleg ya abong"",""Ampetang so sangim"", ""Matalker so tenger to"" , ""Singa kinaykay na manok"", ""Anya ti nagan mo?"", ""Kablaaw"", ""Naimbag nga bigat"", ""Naimbag nga malem"", ""Naimbag nga rabi-i!"", ""Awan anyaman"", ""Mangan tayon!"", ""Mabisinakon"", ""Nanganakon"",""Agsubli ak"", ""Awan tawar na"", ""Anya ngay""",Region 1 - Regional Profile | Department of Trade and Industry Philippines (dti.gov.ph),,,"Ilocano: 66%
Pangasinense: 27%
Tagalog: 3%
Others: 4%"
4,Region-II,"Cagayan Valley, Luzon's second-largest region, offers rich resources and investment opportunities. Nestled in northeastern Luzon, it boasts 26, 388 sq. km of land. Protected by surrounding mountain ranges, the valley enjoys shelter from typhoones. The Cagayan River, part of the region's extensive river network, irrigates vast agricultural lands. Cagayan Valley's strategic location near East Asian markets makes it even more attractive for investors.",3685744,28228.83,"English, Ilocano, Filipino, Ybanag, Ytawes, Ivatan",,"Ilocano, Ybanag, Ytawes, Ivatan, Filipino",,,,,
5,Revion-III,"Region III, or Central Luzon, or most commonly known as the Rice Granary of the Philippines, is a vibrant region nestled in Luzon Island's central plains. It dominates rice production, contributes a third of the nation's output, and boasts rich mineral deposits and marine resources. With well-connected transportation networks and international airports, it serves as a crucial trade hub. Former US Military bases transformed into economic zones further enhance its commercial importance. The region's diverse culture and ample amenities ensure a high quality of life. Central Luzon thrives as a vital contributor to the Philippines' economic and cultural landscape.",12422172,219.06,"English, Ilocano, Kapampangan",,"Tagalog, English, Ilocano, Kapampangan, Pangasinan, Sambal",,,,,
6,Region-IVA,"Region IV-A is a beautiful natural region also known as Calabarzon and, more technically, the Southern Tagalog Mainland. It is made up of five provinces, with the term Calabarzon including one or more letters from each province's name. Cavite, Laguna, Batangas, Rizal, and Quezon. The area is located in southwestern Luzon, south and east of Metro Manila, and is the country's second most densely inhabited region.",16195042,165.76,"Chabacano, English, Filipino, Ilocano, Bisaya, Bicolano","Tagalog: 74.4%
Bisaya: 7.5%
Bicolano: 5.5%
Others: 12.6%","Tagalog, Bisaya, Bikol/Bicolano, ",,"https://maestroromano.blogspot.com/2009/12/ako-ang-daigdig-ni-alejandro-abadilla.html
https://bangkanixiao.files.wordpress.com/2012/10/rizal-liham-sa-kababaihan-ng-malolos.pdf
https://aklatmulat.blogspot.com/2019/04/buhay-pilipino-ni-mars-ravelo-isang.html",,,"Tagalog: 74.4%,
Bisaya: 7.5%,
Bicolano: 5.5%,
Others: 12.6%"
7,Region-IVB,"Region 4B, also known as MIMAROPA, is an administrative region in the Philippines situated in the southwestern part of Luzon island and the western part of the Visayas archipelago. Its name is an acronym derived from the names of its constituent provinces: Mindoro (Occidental and Oriental), Marinduque, Romblon, and Palawan. This region is known for its stunning natural beauty, with picturesque beaches, crystal-clear waters, and diverse marine life making it a popular tourist destination. Its economy is primarily driven by agriculture, fishing, mining, and tourism. Palawan, the largest province in the region, is particularly renowned for its pristine beaches, lush forests, and vibrant coral reefs, attracting visitors from around the world.",3228558,30235.79,"Tagalog, Tausog, Ilocano, Buhid, Bisaya, Palawano",,"Romblomanon, Asi, Onhan",,https://tausugbyfvelasco.wordpress.com/literary-arts/ ,,,
8,Region-V,"Region V, also known as the region of Bicol or Bicolandia encompasses the southern part of Luzon island. The region is composed of six provinces namely, Albay, Camarines Sur, Camarines Norte, Sorsogon, Catanduanes, and Masbate. Bicol is famous for its breathtaking sceneries that include caves, limestone cliffs, mountains, waterfalls, and coral reefs. It is also famous for a plethera of unique cuisine, rich culture, and diverse people.",6082165,17632,"Tagalog, Inland Bikol, Bisakol, Coastal Bikol, Pandan Bikol
",,"East Miraya, West Miraya, Canaman, Northern Sorsogon, Southern Sorsogon, Buhinon, Libon, Rinconada, Partido, Central Standard Bikol",,,,,
9,Region-VI,"Region VI, also known as Western Visayas, is a Philippine administrative region in western Visayas. It is divided into six provinces: Aklan, Antique, Capiz, Guimaras, Iloilo, and Negros Occidental, as well as two highly urbanized cities — Iloilo City and Bacolod City. Iloilo serves as the region's principal hub. In addition, Western Visayas, located on the Philippines' western coast, has abundant natural resources. However, excessive logging has harmed its forests. Its waters are teeming with many species of fish and marine life, while minerals such as copper, gold, and limestone are also present. Due to its coastal location, fishing is a prominent occupation. It is a significant fishing area, with several coastal towns, fishing locations, and fish farms spread across a broad area. The primary economic activities in the region are farming, sugar production, rice and corn milling, fishing, mining, and commerce. Furthermore, key industries include livestock and poultry farming, along with cottage enterprises like rattan crafting, food preservation, ceramics, and confectionery manufacturing. Western Visayas has a competitive advantage in producing seaweed, mangoes, pineapples, bananas, and cashews.",7954723,12828.97,"Aklanon/Akeanon, Capiznon, Cebuano, Hiligaynon, Kinaray-a, Malaynon, Caluyanon, Tagalog","Hiligaynon: 67.6%
Capiznon:9.6%
Kinaray-a and Akeanon:6.9%
Others:15.9%","Hiligaynon, Kinaray-a, Aklanon, and Capiznon",,"https://www.aswangproject.com/tungkung-langit-alunsina/
https://iopscience.iop.org/article/10.1088/1742-6596/1254/1/012038/pdf",,,"Language: ""Hiligaynon""
Population: 5,375,682
Distribution: 67.6%

Language: ""Capiznon""
Population: 763,406
Distribution: 9.6%

Language: ""Kinaray-a and Akeanon""
Population: 549,755
Distribution: 6.9%

Language: ""Others""
Population: 1,262,978
Distribution: 15.9%"
10,Region-VII,"Region 7, also known as Central Visayas, is an administrative region in the Philippines that occupies the central section of the Visayas island group. It consists of four provinces: Bohol, Cebu, Negros Oriental, and Siquijor, as well as three highly urbanized cities: Cebu City, Lapu-Lapu, and Mandaue. The regional center and largest city is Cebu City, which is also the oldest city in the country.",8081988,14923,"Cebuano, Boholano, Porohanon, Bantayanon, Hiligaynon, Tagalog, English","Cebuano:61.4%
Bisaya:19.3%
Boholano:16.2%
Others:3.1%","Cebuano, Bantayanon,Boholano, Porohanon",,,,,"Language: ""Cebuano""
Population: 4,968,599
Distribution: 61.4%

Language: ""Bisaya""
Population: 1,561,992
Distribution: 19.3%

Language: ""Boholano""
Population: 1,309,853
Distribution: 16.2%

Language: ""Others""
Population: 250,544
Distribution: 3.1%"
11,Region-VIII,"Region 8 is numerically designated to Eastern visayas. The region consists of three main islands, named, Samar, leyte and Biliran. It has six provinces, one independent city and one highly urbanized city namely, Biliran, Leyte, Northern Samar, Samar, Eastern Samar, Southern Leyte, Ormoc and Tacloban. ",4547150,23234.78,"Waray-Waray, Abaknon, Baybayanon, Boholano, Cebuano","Waray:64.2%
Bisaya:32.2%
Cebuano:2%
others:1.6%","Waray-Waray, Bisaya",,,,,"“Language”: “Waray”
“Population”: “2,919,270”
“Distribution”: “64.2%”

“Language”: “Bisaya”
“Population”: “1,464,182”
“Distribution”: “32.2%”

“Language”: “Cebuano”
“Population”: “90,943”
“Distribution”: “2%”

“Language”: “others”
“Population”: “72,755”
“Distribution”: “1.6%”"
